,Lasso,OLS,Ridge
SMOKING,9.557392865338334,9.59687116935909,9.596513161964644
POVERTY,2.607078822122797,2.7153031300823605,2.715355434686197
PM25,3.5746650602161467,3.618528638365778,3.6184855981644883
NO2,0.3468725624847728,0.4603406983954099,0.46030668417924314
SO2,0.404362267316931,0.42058390943277785,0.42072537596772164
Year,0.022911325086051107,0.1481087450113822,0.14805714977111784
