Feature,Importance,Std
SMOKING,0.6890268849357816,0.010451280427744342
PM25,0.11447860634927039,0.0029920968036418784
POVERTY,0.09452156440888428,0.00202213877572214
NO2,0.03821813070772784,0.0017908495719515874
SO2,0.029196431326312895,0.0018636510963790857
Year,0.0,0.0
