,GradientBoosting,RandomForest
SMOKING,0.759547242747041,0.3972617557123716
PM25,0.083245307778152,0.17094068227777362
POVERTY,0.07461152640501403,0.16109067987839826
SO2,0.04780775142619445,0.14568037337349019
NO2,0.030428254496861425,0.09304830634498609
Year,0.004359917146737002,0.03197820241298033
